test_name,C++Kernel,C++E2E,C++7BKernel,C++7BE2E,NumPy,MLX,TensorflowKernel,TensorflowE2E,PyTorchKernel,PyTorchE2E,GaudiKernel,GaudiE2E,Gemmini,NP Speedup Kernel,NP Speedup E2E,MLX Speedup Kernel,MLX Speedup E2E,TF Speedup Kernel,TF Speedup E2E,PT Speedup Kernel,PT Speedup E2E,Gaudi Speedup Kernel ,Gaudi Speedup E2E,Gemmini Speedup Kernel,Gemmini Speedup E2E,C++GemminiKernel,C++GemminiE2E
Dexter,,,,,,,,,,,,,,,,,,,,,,,,,,,
color_burn,6097.04,6408.41,,,6284.534209,3768.218175,4090.93,9764.09,652.46,3391.43,146.29,6853.02,,0.9701657747,1.019711213,1.618016717,1.700647283,1.490379938,0.6563243477,9.34469546,1.889589347,41.67776335,0.9351220338,,,,
color_dodge,6007.73,6543.12,,,5622.84698,3763.458455,3111.01,8683.2,568.65,3211.22,146.49,6867.44,,1.068449848,1.163666737,1.596332222,1.738592329,1.931118833,0.7535378662,10.56489932,2.037580733,41.0111953,0.9527742507,,,,
darken_blend,5653.58,5942.51,,,7202.200032,3517.97693,1154.23,6743.9,208.9,2730.9,13.34,6547.89,,0.7849795861,0.8250964947,1.607054314,1.689183903,4.898139885,0.8811681668,27.06357109,2.176026218,423.8065967,0.9075457896,,,,
dissolve_blend,5941.23,8319.76,,,1396.953571,3713.38275,8.96E+02,1.11E+04,621.7899699,7.77E+03,81.33,10106.32,,4.25299031,5.955645323,1.59995088,2.240480058,6.63E+00,7.47E-01,9.555043162,1.07E+00,73.05090373,0.8232234879,,,,
lighten_blend,6321.84,6759.04,,,7206.487256,3482.3292,1134.08,6777.14,206.94,2714.65,13.34,6614.1,,0.8772429306,0.9379104909,1.81540562,1.940953773,5.574421558,0.9973292569,30.54914468,2.489838469,473.9010495,1.02191379,,,,
linear_burn,6272.6,6420.68,,,423.0633453,2901.533553,1535.74,7230.66,205.49,2689.84,13.34,6566.18,20759.14,14.82662129,15.17663979,2.161822321,2.212857402,4.084415331,0.8879797971,30.52508638,2.387011867,470.2098951,0.9778409974,0.3360481215,0.4225213569,6976.07,8771.18
linear_dodge,5268.81,5630.4,,,318.2137733,2671.424355,782.74,6384.7,104.99,2522.91,13.34,6769.4,1134.45,16.55745427,17.69376586,1.972284931,2.107639691,6.731238981,0.8818581922,50.18392228,2.231708622,394.9632684,0.8317428428,5.914249196,7.517061131,6709.42,8527.73
multiply_blend,6231.65,6573.94,,,507.6569904,2916.067207,1357.27,7035.52,243.74,2735.63,16.49,6777.62,,12.27531605,12.94957053,2.137004931,2.254385627,4.591311972,0.9343929091,25.56679248,2.403080826,377.9047908,0.9699481529,,,,
normal_blend_8,5423.19,5513.16,,,395.0823044,3399.929015,2761.84,8971.86,449.39,2325.77,69.08,6554.83,1591.98,13.72673476,13.95445946,1.595089184,1.621551502,1.963614836,0.6144946533,12.06789203,2.370466555,78.50593515,0.8410835979,0.00631653664,0.007150969233,10.0558,11.3842
normal_blend_f,5421.42,7715.52,,,1779.337335,5407.977624,2.30E+03,1.30E+04,4.30E+02,7.60E+03,75.88,9265.3,1564.47,3.046875876,4.336176086,1.002485657,1.426692294,2.36E+00,5.94E-01,1.26E+01,1.02E+00,71.44728519,0.8327328851,0.009812716128,0.01281788721,15.3517,20.0532
overlay_blend,6735.48,6901.23,,,3969.396086,4631.348209,7232.89,12724.74,1084.79,4020.57,42.37,6481.24,,1.696852582,1.738609564,1.454323816,1.490112531,0.9312294256,0.5423474271,6.209017414,1.716480499,158.9681378,1.064800871,,,,
screen_blend,6079.14,6447.62,,,787.7166372,3273.947755,2641.61,8193.51,387.58,2932.32,19,6555.85,38793.41,7.717419835,8.185202261,1.856822544,1.969371683,2.3013011,0.7869179387,15.68486506,2.198811862,319.9547368,0.9834910805,0.1712375891,0.2169327213,6642.89,8415.56
Average Dexter per backend,,,,,,,,,,,,,,6.483425258,6.994704484,1.701382761,1.866039006,3.62371131,0.7730805288,19.99357357,1.998910409,243.7834631,0.928518315,1.287532832,1.635296813,,
GMean Dexter per backend,,,,,,,,,,,,,,4.010457126,4.558027491,1.464967291,1.671858229,2.07E+00,6.65E-01,1.25E+01,1.66E+00,172.5230595,0.9486013828,0.1293348461,0.1656708244,,
Llama,,,,,,,,,,,,,,,,,,,,,,,,,,,
matmul,12827.6,18711.6,2570.59,3751.77,517.7292462,194.2837573,2.30E+02,6.50E+03,1.00E+01,8.20E+03,8.3,5.90E+03,37.63776,24.77665709,36.14167084,13.23111121,19.31077539,5.58E+01,2.88E+00,1.28E+03,2.28E+00,1545.493976,3.17E+00,5.377737676,11.10337066,202.406,417.906
rmsnorm1,41838.3,199778,8346.48,32563.7,75625.02637,6331.416764,9.50E+02,4.80E+04,5.40E+01,4.20E+04,3.20E+01,3.30E+04,9.693743,0.5532335261,2.641691641,1.318264191,5.143193256,4.40E+01,4.16E+00,7.75E+02,4.76E+00,1.31E+03,6.05E+00,0.0249542411,0.02660479033,0.2419,0.2579
rmsnorm2,182454,309392,46241.9,57006.1,78504.75127,7064.371103,3.90E+02,6.70E+04,8.70E+01,9.20E+04,8.00E+01,5.50E+04,,2.324114108,3.941060827,6.545791455,8.069522279,4.68E+02,4.62E+00,2.10E+03,3.36E+00,2.28E+03,5.63E+00,,,,
softmax1,12790.6,17982.3,2576.91,3690.98,4400.716573,192.5942861,1.80E+02,9.40E+03,3.10E+01,6.10E+03,5.20E+01,5.90E+03,,2.906481203,4.086220892,13.37999196,19.16453533,7.11E+01,1.91E+00,4.13E+02,2.95E+00,2.46E+02,3.05E+00,,,,
softmax2,108606,131843,23918.3,25097.7,41439.9592,328.257728,1.40E+02,1.50E+04,3.50E+01,2.20E+04,6.30E+01,1.40E+04,,2.620803739,3.181542708,72.8643927,76.45730126,7.76E+02,8.79E+00,3.10E+03,5.99E+00,1.72E+03,9.42E+00,,,,
softmax3,13246.2,18573.9,2662.61,3636.65,5149.428203,301.8452655,1.70E+02,7.30E+03,3.40E+01,6.30E+03,5.80E+01,5.60E+03,1.09944,2.572363276,3.606983002,8.821109039,12.04806043,7.79E+01,2.54E+00,3.90E+02,2.95E+00,2.28E+02,3.32E+00,0.0003638215819,0.0008185985593,0.0004,0.0009
softmax4,35123.1,52658.4,8138.98,9151.07,20896.00577,331.5260646,1.50E+02,1.60E+04,2.30E+01,2.30E+04,6.10E+01,1.30E+04,,1.680852331,2.520022275,24.55004559,27.6028674,2.34E+02,3.29E+00,1.53E+03,2.29E+00,5.76E+02,4.05E+00,,,,
transformer1,142.126,4497.98,29.8187,1168.9,72.15670701,32.2558795,1.50E+02,3.10E+03,1.70E+01,3.20E+03,1.80E+01,3.00E+03,,1.969685229,62.33627041,0.9244423176,36.23835462,9.48E-01,1.45E+00,8.36E+00,1.41E+00,7.90E+00,1.50E+00,,,,
transformer2,469.008,1955.78,79.8795,381.335,506.8187345,37.3918708,6.00E+01,1.60E+03,5.5,1.60E+03,7.8,1.90E+03,,0.9253959416,3.858933909,2.136279846,10.19833969,7.82E+00,1.22E+00,85.27418182,1.22E+00,60.12923077,1.03E+00,,,,
transformer3,410593,463104,65399.8,89535.2,216316.8977,2446.979579,5.00E+02,4.40E+04,1.00E+03,7.20E+04,2.80E+02,3.90E+04,,1.898108767,2.140859105,26.72674531,36.59008876,8.21E+02,1.05E+01,4.11E+02,6.43E+00,1.47E+03,1.19E+01,,,,
transformer4,190601,305281,35779.9,53963.9,64088.16751,5759.429996,3.30E+02,7.00E+04,5.50E+01,9.30E+04,1.30E+02,5.60E+04,,2.974043531,4.763453409,6.212402968,9.369659851,5.78E+02,4.36E+00,3.47E+03,3.28E+00,1.47E+03,5.45E+00,,,,
Average Llama per backend,,,,,,,,,,,,,,5.347786468,8.017027454,20.10152945,23.97089362,2.47E+02,4.03E+00,1.37E+03,3.51E+00,1129.666425,4.95E+00,1.80101858,3.710264682,,
GMean Llama per backend,,,,,,,,,,,,,,2.701178089,4.613193285,11.33931461,16.88034359,1.42E+02,3.60E+00,1.07E+03,3.31E+00,823.5641227,4.57E+00,0.03654916668,0.06230102876,,
blas,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot,947.305,3579.74,,,1747.994648,2570.480117,7937.341333,9560.412186,550.0344418,5575.06284,621.048,10076.938,182.82,0.5419381581,2.047912449,0.3685323196,1.392634775,0.1193478975,0.3744336468,1.722264877,0.642098592,1.525332986,0.355240848,0.00001203369434,0.00004594683295,0.0022,0.0084
gemv,380.938,1498.81,,,1408.103843,2142.017448,8329.588298,9611.966265,497.3397315,3661.698798,577.71,5369.68,594.84,0.2705326044,1.064417235,0.1778407549,0.6997188568,0.04573311266,0.155931675,0.7659512722,0.4093209417,0.6593931211,0.2791246406,1.006290767,5.257144778,598.582,3127.16
Average blas per backend,,,,,,,,,,,,,,0.8124707625,3.112329684,0.5463730745,2.092353632,0.1650810102,0.5303653218,2.488216149,1.051419534,2.184726107,0.6343654885,1.006302801,5.257190725,,
